HTTP Link,word_count,noun_count,proper_noun_count,adjective_count,prepositions_count,verb_count,num_sentences
https://www.medicalnewstoday.com/,1520,593,301,102,164,183,41
https://www.medicalnewstoday.com/articles/how-accurate-are-the-claims-about-ashwagandhas-benefits,3041,956,296,234,282,346,114
https://www.medicalnewstoday.com/articles/how-accurate-are-the-claims-about-ashwagandhas-benefits,3041,956,296,234,282,346,114
https://www.medicalnewstoday.com/articles/how-accurate-are-the-claims-about-ashwagandhas-benefits,3041,956,296,234,282,346,114
https://www.medicalnewstoday.com/articles/could-some-diets-help-manage-long-covid,2561,792,222,288,220,298,77
https://www.medicalnewstoday.com/articles/could-some-diets-help-manage-long-covid,2561,792,222,288,220,298,77
https://www.medicalnewstoday.com/articles/could-some-diets-help-manage-long-covid,2561,792,222,288,220,298,77
https://www.medicalnewstoday.com/articles/common-drug-may-help-manage-osteoarthritis-symptoms-and-pain,2153,726,245,174,218,228,96
https://www.medicalnewstoday.com/articles/common-drug-may-help-manage-osteoarthritis-symptoms-and-pain,2153,726,245,174,218,228,96
https://www.medicalnewstoday.com/articles/common-drug-may-help-manage-osteoarthritis-symptoms-and-pain,2153,726,245,174,218,228,96
https://www.medicalnewstoday.com/articles/psoriasis-and-chronic-inflammation,2038,730,248,165,177,198,101
https://www.medicalnewstoday.com/articles/psoriasis-and-chronic-inflammation,2038,730,248,165,177,198,101
https://www.medicalnewstoday.com/articles/psoriasis-and-chronic-inflammation,2038,730,248,165,177,198,101
https://www.medicalnewstoday.com/news,1929,681,206,162,187,250,40
https://www.medicalnewstoday.com/articles/could-eating-avocados-help-manage-blood-sugar-in-diabetes,1643,575,196,117,171,176,57
https://www.medicalnewstoday.com/articles/could-eating-avocados-help-manage-blood-sugar-in-diabetes,1643,575,196,117,171,176,57
https://www.medicalnewstoday.com/articles/could-eating-avocados-help-manage-blood-sugar-in-diabetes,1643,575,196,117,171,176,57
https://www.medicalnewstoday.com/articles/new-blood-test-may-help-predict-worsening-disability-in-multiple-sclerosis,1742,596,273,113,173,201,62
https://www.medicalnewstoday.com/articles/new-blood-test-may-help-predict-worsening-disability-in-multiple-sclerosis,1748,600,274,113,173,202,63
https://www.medicalnewstoday.com/articles/new-blood-test-may-help-predict-worsening-disability-in-multiple-sclerosis,1742,596,273,113,173,201,62
https://www.medicalnewstoday.com/articles/gold-electrodes-future-of-wearable-heart-monitors,1924,669,253,152,179,221,71
https://www.medicalnewstoday.com/articles/gold-electrodes-future-of-wearable-heart-monitors,1924,669,253,152,179,221,71
https://www.medicalnewstoday.com/articles/gold-electrodes-future-of-wearable-heart-monitors,1924,669,253,152,179,221,71
https://www.medicalnewstoday.com/articles/food-sensitivity-may-significantly-increase-risk-of-cardiovascular-disease,1553,585,212,99,156,169,64
https://www.medicalnewstoday.com/articles/food-sensitivity-may-significantly-increase-risk-of-cardiovascular-disease,1553,585,212,99,156,169,64
https://www.medicalnewstoday.com/articles/food-sensitivity-may-significantly-increase-risk-of-cardiovascular-disease,1553,585,212,99,156,169,64
https://www.medicalnewstoday.com/articles/any-activity-is-better-for-your-heart-health-than-sitting-even-sleeping,2395,790,245,191,234,262,88
https://www.medicalnewstoday.com/articles/any-activity-is-better-for-your-heart-health-than-sitting-even-sleeping,2395,790,245,191,234,262,88
https://www.medicalnewstoday.com/articles/any-activity-is-better-for-your-heart-health-than-sitting-even-sleeping,2395,790,245,191,234,262,88
https://www.medicalnewstoday.com/articles/colon-cancer-activate-protective-genes-to-slow-progression,1853,653,234,151,188,206,65
https://www.medicalnewstoday.com/articles/colon-cancer-activate-protective-genes-to-slow-progression,1852,651,235,148,189,206,64
https://www.medicalnewstoday.com/articles/colon-cancer-activate-protective-genes-to-slow-progression,1853,653,234,151,188,206,65
https://www.medicalnewstoday.com/articles/how-much-sleep-prevent-cognitive-decline,1781,588,211,143,173,205,74
https://www.medicalnewstoday.com/articles/how-much-sleep-prevent-cognitive-decline,1781,588,211,143,173,205,74
https://www.medicalnewstoday.com/articles/how-much-sleep-prevent-cognitive-decline,1781,588,211,143,173,205,74
https://www.medicalnewstoday.com/articles/depression-tied-to-4-times-higher-early-death-risk-in-diabetes,1667,577,209,108,190,166,61
https://www.medicalnewstoday.com/articles/depression-tied-to-4-times-higher-early-death-risk-in-diabetes,1667,577,209,108,190,166,61
